,RA,DEC,Field
84,44.5773091134026,33.406819766319,38
85,120.072620007062,21.9115980477463,54
86,153.494389829842,9.9703614957166,73
87,139.549052401929,19.9512330380474,61
88,168.468690558412,2.5865154876121,77
89,168.468690558412,2.5865154876121,89
90,131.830872155878,16.3989094225205,66
91,160.218431235043,6.5888408546712,84
92,180.958030905843,-0.7676085297548,97
93,180.958030905843,-0.7676085297548,104
94,174.062053711559,0.8519269004475,91
95,151.07282445356,10.8796665424004,70
96,184.803010194992,-1.552227467008,114
97,159.013445095577,9.9146632660334,82
98,179.437936276917,-0.36311737672,100
99,160.080283208357,5.8694681608468,84
100,333.753373443858,-9.8031464441156,1
101,154.210031612894,8.1303724019095,72
102,179.788955949386,-0.1720786688931,100
103,179.616802134047,-0.0869594113291,100
104,152.862555211275,8.9980253465452,72
105,168.863852219222,2.7727659235702,77
106,183.551870319121,-2.6618531192131,115
107,148.830102961576,14.1392818353543,71
108,155.438958118669,7.9945578459059,80
109,130.485554848843,17.5235951822123,64
110,169.685071814129,4.5546627284629,103
111,174.706946079359,2.0671268606455,91
112,31.0860720295254,12.6034279696162,130
113,141.240496944485,12.7554347469789,69
114,43.487916240757,34.2436170879271,38
115,44.0996607133339,33.1795992074131,38
116,131.987361140071,17.2149498672444,66
117,174.234693306726,0.9765403463199,91
118,119.899239138572,22.0082557967777,54
119,130.959175963718,15.6402208024339,66
120,189.761510776586,-3.014435676727,118
121,127.219110555834,19.5493276282772,137
122,156.430041251537,8.1508230499424,80
123,149.831732386817,10.9769742468031,70
124,7.3182526206894,0.6799322207853,133
125,113.433527697812,21.3552441615195,18
126,113.433527697812,21.3552441615195,164
127,153.602439426411,11.0396700000591,73
128,6.9939342049845,1.0473566960493,133
129,182.113397043834,-0.1721313650073,104
130,120.398785500012,21.2340069046079,54
131,184.322825380765,-1.7456907527435,114
132,184.322825380765,-1.7456907527435,115
133,132.22472590567,15.6597318214477,66
134,181.418518250499,-1.4471491639122,97
135,185.629997500803,-2.8233589663392,116
136,150.203381369707,10.5841208807705,70
137,189.619609225537,-2.7373171324457,118
138,138.522101448219,19.2367350595724,61
139,119.697037787399,21.2700212978999,54
140,188.459070956052,-2.2356080099458,118
141,139.258097659239,20.119919925152,61
142,137.629126812395,16.9496166296798,62
143,118.622256432418,19.3352138216509,58
144,118.562273104146,18.5691861918482,58
145,131.229663361039,15.8255656326349,66
146,174.288189514111,1.1757741495171,91
147,158.402403793765,10.9530250308866,82
148,138.800269768591,19.187410485223,61
149,118.933213735016,21.2055286773001,165
150,159.426928367752,10.3399034806288,82
151,160.978493580941,5.9415148098714,84
152,113.82141859345,20.672923266958,18
153,113.82141859345,20.672923266958,52
154,113.82141859345,20.672923266958,164
